file,Delay_samples,Delay_ms,Aligned_samples,SNR_dB,SSNR_dB,SI_SDR_dB,PESQ,STOI,Input_SNR_dB,Input_SSNR_dB,Input_SI_SDR_dB,Input_PESQ,Input_STOI
p264_seq0075.wav,0,0.0,175496,22.269294742347576,12.43708190260685,22.248796266520618,2.4870786666870117,0.7563568586759932,11.922783130444314,6.5698442652389035,11.92818219897408,1.599686861038208,0.7192383514689749
p264_seq0076.wav,0,0.0,177433,24.412458735222266,16.873329597024266,24.446694416232184,3.211585760116577,0.849927944573865,16.280906278023384,11.56299356720759,16.29180662663562,1.4823189973831177,0.8369526111292089
p264_seq0077.wav,0,0.0,166230,16.706910994764428,6.942144118942542,16.62441302348871,2.1906471252441406,0.7018890507055392,2.326304187378737,-4.196568576614536,2.34979509796531,1.1180453300476074,0.661181010381179
p264_seq0078.wav,0,0.0,198560,17.6695799260446,9.531376779821363,17.595719736046934,2.0775809288024902,0.7828587265148935,10.83165584750825,2.0812217245395526,10.821210784101877,1.5256799459457397,0.7563088311282602
p264_seq0079.wav,0,0.0,172884,21.948561120459726,14.416675927796993,21.93869644446697,2.078927516937256,0.7978525823086043,8.897824237990603,12.208623234180466,8.896329234885453,1.7107975482940674,0.7484623610569208
p264_seq0080.wav,0,0.0,203360,17.962911584921116,8.750430528624248,17.903558413212824,2.3524293899536133,0.811149053718063,-1.6231064763713303,-1.4613250488313105,-1.5790534973076154,1.1434839963912964,0.8185365166095063
p264_seq0081.wav,0,0.0,168312,1.0811009828668054,2.612158926741729,0.5442913643111971,1.2861825227737427,0.6685073153829565,-2.666594959689175,-3.970148487812747,-2.6827732777738325,1.0822277069091797,0.6126553057439948
p264_seq0082.wav,0,0.0,184800,40.149079303851174,28.190407673890473,40.17620094829258,4.120049476623535,0.952059019600192,40.10370438504403,27.738231211500107,40.10333386777593,3.935103178024292,0.9468482078818727
p264_seq0083.wav,0,0.0,208661,15.76057269000184,7.8917572418713355,15.660808125155823,1.9162909984588623,0.7811417548907268,9.530405617824748,2.4189483646423167,9.537102147963614,1.5420558452606201,0.7771146853346184
p264_seq0084.wav,0,0.0,189280,9.81036934723105,2.5610048697306813,9.376282736966102,1.3766863346099854,0.6804726717174976,-0.1813904361902766,-4.938448119581653,-0.14290042402597047,1.1199555397033691,0.6116058195058488
p264_seq0085.wav,0,0.0,186240,15.273296839140567,7.8661693863018325,15.194892631182022,2.0772297382354736,0.7848720235056182,0.5227558177089777,-0.9090323088458313,0.5263494371932532,1.1505742073059082,0.7510556064357293
p264_seq0086.wav,0,0.0,172480,32.449069055865955,22.24339012261691,32.44867505676271,3.7544403076171875,0.8652323228875182,28.86594958701562,18.017767689208007,28.86408803537559,2.7767152786254883,0.7951745391116122
p264_seq0087.wav,0,0.0,203054,33.30357205709058,23.189421884295307,33.305332712558965,3.8119425773620605,0.8907820389451377,31.206898828502332,20.142329273837284,31.205938428112105,2.8528003692626953,0.8476950118825123
p264_seq0088.wav,0,0.0,205276,23.2905293111992,16.665446236204183,23.271485022208097,3.1514437198638916,0.8411271207694542,18.063380593901638,9.414637964534272,18.06838347324067,1.9544020891189575,0.7749436468254234
p264_seq0089.wav,0,0.0,210547,18.847118227858992,10.973391318913942,18.808154453074867,2.684185028076172,0.8349168596055478,5.989363937244823,4.389848607273756,5.9801971189281815,1.2621358633041382,0.80287901377695
p264_seq0090.wav,0,0.0,174720,15.421776683692316,11.844320309357482,15.308846233364346,1.6425209045410156,0.7884418007873258,5.426599271413481,2.4329272942430795,5.41151143337744,1.2556519508361816,0.7089770016012541
p264_seq0091.wav,0,0.0,202819,36.238619456344814,29.373016668848386,36.252274729539266,3.579674482345581,0.9769924997699312,35.057007378965245,29.182748488422828,35.05703082269364,3.1694955825805664,0.9662220078226318
p264_seq0092.wav,0,0.0,198880,25.474018965972306,17.033317760464925,25.46658596011971,3.640080213546753,0.936099057845404,20.76220401941926,16.09408829569934,20.76149751251004,2.984827756881714,0.9162172088114677
p264_seq0093.wav,0,0.0,173936,16.439091539270358,7.9412182129468345,16.355669289863883,1.9786115884780884,0.7310833008873808,7.020114464468049,0.3153304689476427,6.928379869738941,1.3239189386367798,0.6797466644247484
p264_seq0094.wav,0,0.0,168267,40.66934352887352,25.09236129348906,40.69879033274677,4.081717014312744,0.9520724146484355,39.54797030424051,23.52997276980962,39.547717996705636,3.1361944675445557,0.9301803010302301
p264_seq0095.wav,0,0.0,188342,42.70186692351145,29.991475314468072,42.721619507753175,4.215757369995117,0.9837945917749906,43.22161848043162,31.916744696608614,43.2217484516812,4.050790786743164,0.987165270345271
p264_seq0096.wav,0,0.0,178080,23.025070389884334,13.657169145359127,23.0095082446781,2.180121898651123,0.8779799651358221,11.07441237612419,8.037117427329623,11.07867974851953,1.5756776332855225,0.8753064365130275
p264_seq0097.wav,0,0.0,196160,19.676412739309846,9.70316114656975,19.63480194619738,2.584620714187622,0.7821860704802522,9.01126172457039,0.02395113176146647,9.011826469309991,1.2099943161010742,0.7541220862344975
p264_seq0098.wav,0,0.0,203040,12.375783942702455,4.921879441307548,12.175656947155357,1.2954516410827637,0.6986507661691496,-2.4504267505142803,-3.674286209035151,-2.4455881936652006,1.0421862602233887,0.5242638481285765
p264_seq0099.wav,0,0.0,183534,9.579354071735327,9.227151912544064,9.214271215884951,1.3747857809066772,0.6590712577139968,0.9170272063479488,-1.2489787512168262,0.8726399901978056,1.1507447957992554,0.5965305933480904
p264_seq0100.wav,0,0.0,249428,33.162580236648445,22.85890385366063,33.164274982103,3.7920358180999756,0.9243984498233413,30.946219659021402,20.020043594019548,30.94665170848957,2.915062189102173,0.9041589511766938
p264_seq0101.wav,0,0.0,167680,33.91888704488088,26.265552477043826,33.92034268210648,4.2889862060546875,0.9806376472271047,33.968035315967896,26.565892544156004,33.96772512358582,4.282846927642822,0.9879642226508315
p264_seq0102.wav,0,0.0,189920,34.12163219119387,24.349488930716124,34.12371047460272,3.755869150161743,0.9082857651420057,31.408262504019632,22.497834219357006,31.40848197078617,2.929400682449341,0.8847199691848642
